offset,back_efficiency,collection_efficiency,front_share,plate_back_equiv_abs,plate_back_imping_rate,plate_back_mc_hits,plate_front_equiv_abs,plate_front_imping_rate,plate_front_mc_hits,ratio_front_back,total_des,error,deflector_mc_hits,deflector_imping_rate,deflector_equiv_abs
0.0,0.037442,0.517961,0.92771270423835,37442.0,1.7189093308093908e+18,37442.0,480519.0,2.2059948526553e+19,480519.0,12.833689439666683,1000000.0,,2409238.0,6.061218441518134e+18,0.0
0.5,0.044945,0.390496,0.8849027902974679,44945.0,2.0633614623478464e+18,44945.0,345551.0,1.5863758297380366e+19,345551.0,7.688307931916787,1000000.0,,2726262.0,6.858794984476466e+18,0.0
1.0,0.047597,0.31362,0.8482335310248071,47597.0,2.1851110362302917e+18,47597.0,266023.0,1.2212740155704996e+19,266023.0,5.589070739752505,1000000.0,,2875052.0,7.233124416402031e+18,0.0
1.5,0.049,0.267475,0.8168053089073746,49000.0,2.249520784404149e+18,49000.0,218475.0,1.0029878640259109e+19,218475.0,4.458673469387755,1000000.0,,2961201.0,7.44986012599915e+18,0.0
2.0,0.048908,0.235067,0.7919401702493332,48908.0,2.2452971943599616e+18,48908.0,186159.0,8.546296728650855e+18,186159.0,3.80630980616668,1000000.0,,3017580.0,7.591699759324854e+18,0.0
2.5,0.049011,0.212141,0.7689696946841958,49011.0,2.250025778865954e+18,49011.0,163130.0,7.489067868568343e+18,163130.0,3.3284364734447367,1000000.0,,3044949.0,7.6605553425117e+18,0.0
3.0,0.048585,0.195625,0.7516421725239617,48585.0,2.230468720617869e+18,48585.0,147040.0,6.750398696709919e+18,147040.0,3.0264484923330244,1000000.0,,3072479.0,7.729815973339785e+18,0.0
3.5,0.048035,0.183371,0.7380447289920434,48035.0,2.2052189975276183e+18,48035.0,135336.0,6.213084589349385e+18,135336.0,2.8174456125741645,1000000.0,,3101045.0,7.801682997685411e+18,0.0
4.0,0.0474,0.172255,0.7248265652666106,47400.0,2.176067044505238e+18,47400.0,124855.0,5.731916684424081e+18,124855.0,2.634071729957806,1000000.0,,3119966.0,7.84928490091455e+18,0.0
4.5,0.047158,0.164979,0.7141575594469599,47158.0,2.164957166345528e+18,47158.0,117821.0,5.408995680393494e+18,117821.0,2.4984308070740915,1000000.0,,3140025.0,7.89974981169481e+18,0.0
5.0,0.046614,0.158742,0.7063537060135314,46614.0,2.1399828947798976e+18,46614.0,112128.0,5.147638092115681e+18,112128.0,2.405457587849144,1000000.0,,3148926.0,7.922143159860476e+18,0.0
5.5,0.046203,0.152217,0.6964662291334083,46203.0,2.121114465343365e+18,46203.0,106014.0,4.866952988526968e+18,106014.0,2.294526329459126,1000000.0,,3155269.0,7.938101030595766e+18,0.0
6.0,0.045513,0.146733,0.6898243748849952,45513.0,2.08943754001196e+18,45513.0,101220.0,4.646867220354856e+18,101220.0,2.2239799617691647,1000000.0,,3171359.0,7.978580636481123e+18,0.0
6.5,0.044919,0.142435,0.6846350967107804,44919.0,2.062167839074489e+18,44919.0,97516.0,4.476821812488877e+18,97516.0,2.1709298960350853,1000000.0,,3189252.0,8.023596272783591e+18,0.0
7.0,0.044151,0.138122,0.6803478084591883,44151.0,2.026910043923012e+18,44151.0,93971.0,4.314075870025352e+18,93971.0,2.128400262734706,1000000.0,,3191226.0,8.028562509080527e+18,0.0
7.5,0.043247,0.134259,0.6778837917755979,43247.0,1.9854086808801272e+18,43247.0,91012.0,4.1782323597998034e+18,91012.0,2.104469674197054,1000000.0,,3203461.0,8.059343613990866e+18,0.0
8.0,0.04286,0.130587,0.6717896881006532,42860.0,1.967642057542078e+18,42860.0,87727.0,4.027422650069852e+18,87727.0,2.04682687820812,1000000.0,,3206200.0,8.066234455539654e+18,0.0
8.5,0.042142,0.127289,0.6689266158112641,42142.0,1.9346796917624417e+18,42142.0,85147.0,3.908978494482858e+18,85147.0,2.020478382611172,1000000.0,,3228172.0,8.121512137361473e+18,0.0
9.0,0.041385,0.123459,0.6647875003037446,41385.0,1.8999268910727693e+18,41385.0,82074.0,3.767901405289512e+18,82074.0,1.983182312432041,1000000.0,,3232365.0,8.132060986800709e+18,0.0
9.5,0.040762,0.121404,0.6642450001647392,40762.0,1.871325841099631e+18,40762.0,80642.0,3.702160308079986e+18,80642.0,1.9783622000883176,1000000.0,,3241495.0,8.155030458630001e+18,0.0
10.0,0.039746,0.118263,0.6639185544083949,39746.0,1.8246827162638223e+18,39746.0,78517.0,3.6046045597767455e+18,78517.0,1.975469229608011,1000000.0,,3245073.0,8.164032076396178e+18,0.0
